Entity;Code;Year;Deaths - HIV/AIDS - Sex: Both - Age: Under 5 (Rate);Deaths - HIV/AIDS - Sex: Both - Age: 70+ years (Rate);Deaths - HIV/AIDS - Sex: Both - Age: 5-14 years (Rate);Deaths - HIV/AIDS - Sex: Both - Age: 15-49 years (Rate);Deaths - HIV/AIDS - Sex: Both - Age: 50-69 years (Rate);Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Rate)
Iran;IRN;2019;2,01;0,74;0,04;1,62;1,8;1,4
Iraq;IRQ;2019;0,51;0,05;0,04;0,2;0,2;0,2
Ireland;IRL;2019;0,05;0,01;0,01;0,29;0,15;0,18
Israel;ISR;2019;0,24;0,26;0,05;0,45;0,76;0,39
Italy;ITA;2019;0,11;0,18;0,04;1,21;1,73;1,03
Jamaica;JAM;2019;3,29;3,56;1,07;18,62;23,94;14,87
Japan;JPN;2019;0,1;0,02;0,02;0,07;0,35;0,13
Jordan;JOR;2019;0,49;0,19;0,03;0,24;0,39;0,24
Kazakhstan;KAZ;2019;0,18;0,01;0,03;2,55;0,58;1,42
Kenya;KEN;2019;39,59;93,66;12,55;130,64;293,58;101,81
Kiribati;KIR;2019;3,19;0,24;0,31;1,59;0,58;1,35
Kuwait;KWT;2019;0,1;0,01;0,04;0,07;0,07;0,06
Kyrgyzstan;KGZ;2019;1,48;0,14;0,37;3,91;2,47;2,6
Laos;LAO;2019;4,68;6,77;0,49;6,32;8,53;5,22
Latin America & Caribbean (WB);;2019;3,27;2,33;0,64;8,71;9,89;6,77
Latvia;LVA;2019;0,51;0,06;0,07;10,97;5,31;6,15
Lebanon;LBN;2019;2,89;0,75;0,14;1,15;1,53;1,18
Lesotho;LSO;2019;159,87;423,07;43,95;664,47;1045,62;516
Liberia;LBR;2019;3,76;25,98;4,32;50,89;80,8;34,49
Libya;LBY;2019;1,24;0,69;0,06;1,51;1,67;1,26
Lithuania;LTU;2019;0,15;0;0,05;3,23;2,76;2,17
Luxembourg;LUX;2019;0,05;0,07;0,02;0,57;0,44;0,4
Madagascar;MDG;2019;4,91;7,17;0,74;13,96;18,92;9,48
Malawi;MWI;2019;31,26;81,16;22,48;100,34;236,19;77,14
Malaysia;MYS;2019;13,2;1,38;1,21;4,8;5,42;4,86
Maldives;MDV;2019;0,12;0,19;0,03;0,19;0,31;0,17
Mali;MLI;2019;8,08;20,91;2,84;30,86;59,69;20,51
Malta;MLT;2019;0,07;0,07;0,03;0,49;0,32;0,32
Marshall Islands;MHL;2019;3,4;9,44;0,52;9,34;10,61;6,94
Mauritania;MRT;2019;0,08;1,3;0,03;0,78;0,96;0,51
Mauritius;MUS;2019;0,69;0,92;0,16;10,38;6,97;7,16
Mexico;MEX;2019;0,73;1,1;0,25;5,58;5,67;4,03
Micronesia (country);FSM;2019;16,61;40,7;3,9;62,42;57,4;44,42
Middle East & North Africa (WB);;2019;0,98;0,84;0,09;1,24;1,49;1,02
Moldova;MDA;2019;0,07;0,06;0,05;8,05;1,52;4,42
Monaco;MCO;2019;0,24;1,8;0,02;2,05;3,73;2,25
Mongolia;MNG;2019;0,11;0,53;0,02;0,42;1,32;0,44
Montenegro;MNE;2019;0,74;0,07;0,05;0,23;0,21;0,22
Morocco;MAR;2019;2,46;0,8;0,33;1,51;1,66;1,37
Mozambique;MOZ;2019;189,28;170,02;45,11;326,44;425,48;224,55
Myanmar;MMR;2019;2,1;2,75;1,39;12,34;10,41;8,73
Namibia;NAM;2019;78,39;143,48;19,77;185,23;417,84;156,98
Nauru;NRU;2019;3;5,33;0,44;11,52;12,46;7,78
Nepal;NPL;2019;2,69;4,43;0,43;6,23;6,9;4,71
Netherlands;NLD;2019;0,08;0,05;0,03;0,3;0,52;0,28
New Zealand;NZL;2019;0,04;0,04;0,02;0,28;0,24;0,19
Nicaragua;NIC;2019;5,49;5,06;0,7;11,96;10,83;8,62
Niger;NER;2019;1,54;7,82;0,97;9,58;23,3;6,11
Nigeria;NGA;2019;18,94;34,59;2,24;55,16;106,23;38,3
Niue;NIU;2019;2,8;3,95;0,44;12,39;12,23;9,02
North America (WB);;2019;0,13;0,54;0,04;2,11;3,87;2,01
North Korea;PRK;2019;2,55;2,05;0,18;3,32;3,81;2,9
North Macedonia;MKD;2019;0,48;0,02;0,02;0,09;0,06;0,09
Northern Ireland;;2019;0,11;0,05;0,04;0,58;0,42;0,38
Northern Mariana Islands;MNP;2019;1,31;1,04;0,22;1,64;1,51;1,39
Norway;NOR;2019;0,06;0,03;0,03;0,31;0,43;0,26
OECD Countries;;2019;0,23;0,26;0,06;1,63;2,06;1,31
Oman;OMN;2019;0,38;2,3;0,09;2,34;5,83;2,15
Pakistan;PAK;2019;2,06;1,49;0,1;2,41;2,44;1,76
Palau;PLW;2019;2,76;4,87;0,42;13,52;11,59;10,33
Palestine;PSE;2019;0,35;0,01;0,03;0,39;0,24;0,27
Panama;PAN;2019;1,97;3,51;0,37;19,21;17,55;12,99
Papua New Guinea;PNG;2019;14,69;29,84;2,79;54,05;80,81;38,81
Paraguay;PRY;2019;14,62;3,69;1,23;9,03;11,97;8,23
Peru;PER;2019;18,68;2,94;1,35;7,82;5,59;7,06
Philippines;PHL;2019;5,23;0,05;1,4;5,84;5,59;4,66
Poland;POL;2019;0,14;0,02;0,05;0,54;0,31;0,35
Portugal;PRT;2019;0,28;0,99;0,07;6,55;5,45;4,53
Puerto Rico;PRI;2019;0,41;1,74;0,15;7,88;10,65;6,57
Qatar;QAT;2019;0,11;0,16;0,03;0,15;0,31;0,15
Region of the Americas (WHO);;2019;2,38;1,4;0,46;6,54;7,16;5,05
Romania;ROU;2019;0,33;0,11;0,14;1,21;0,57;0,74
Russia;RUS;2019;4,08;0,12;0,43;24,53;3,77;12,73
Rwanda;RWA;2019;6,56;27,28;1,93;29,33;81,78;24,16
Saint Kitts and Nevis;KNA;2019;14,84;37,04;1,16;63,11;75,98;53,4
Saint Lucia;LCA;2019;0,43;1,57;0,2;5,41;5,14;4,15
Saint Vincent and the Grenadines;VCT;2019;2,22;6,97;1,07;24,86;20,72;17,64
