country_code,death_rate_age_5-,death_rate_age_5-14,death_rate_age_14-49,death_rate_age_50-69,death_rate_age_70+
WSM,"3,01","0,58","8,68","11,18","7,36"
SMR,"0,29","0,02","1,86","3,72","1,79"
STP,"0,06","0,01","0,2","0,25","0,11"
SAU,"1,09","0,15","2,14","3,18","1,53"
SEN,"2,59","1,8","14,57","27,87","9,28"
SRB,"0,68","0,08","0,69","0,66","0,15"
SYC,"0,76","0,26","4,62","6,23","2,22"
SLE,"3,38","4,77","52,07","72,04","26,38"
SGP,"0,05","0,02","0,6","1,13","0,35"
SVK,"0,15","0,01","0,09","0,08","0,02"
SVN,"0,1","0,02","0,15","0,11",0
SLB,"4,34","0,63","8,71","10,05","8,65"
SOM,"9,61","3,11","23,17","37,15","13,17"
ZAF,"37,54","35,99","334,41","419,72","147,88"
KOR,"0,09","0,02","0,19","0,47","0,26"
SSD,"12,25","5,56","75,71","108,38","38,18"
ESP,"0,19","0,06","2,01","2,04","0,2"
LKA,"0,28","0,02","0,22","0,18","0,04"
SDN,"2,11","0,81","19,1","26,89","9,5"
SUR,"4,25","1,01","24,96","21,57","6,05"
SWE,"0,06","0,02","0,23","0,38","0,04"
CHE,"0,06","0,02","0,51","0,62","0,16"
SYR,"0,16","0,01","0,13","0,09","0,01"
TWN,"0,14","0,03","0,89","0,87","0,31"
TJK,"0,12","0,01","0,95",1,"0,07"
TZA,"14,29","8,15","68,91","129,47","43,4"
THA,"5,82","0,11","28,87","32,58","14,55"
TLS,"25,87","2,71","19,16","33,93","28,53"
TGO,"10,4","7,32","59,12","115,08","35,67"
TKL,"2,92","0,45","12,44","12,35","4,3"
TON,"1,19","0,19","2,34","3,19","1,96"
TTO,"2,69","0,83","21,55","16,16","1,72"
TUN,"0,85","0,05","1,62","1,66","0,71"
TUR,"0,42","0,02","0,29","0,4","0,23"
TKM,"0,13","0,04","3,79","0,57",0
TUV,"2,75","0,44","11,66","11,55","4,52"
UGA,"25,05","12,34","72,74","136,61","45,43"
UKR,"1,03","0,2","26,94","8,68","0,04"
ARE,"0,75","0,07","1,56","1,65","77,2"
GBR,"0,13","0,03","0,44","0,54","0,05"
USA,"0,14","0,04","2,24","4,21","0,6"
VIR,"0,61","0,26","9,65","11,27","3,37"
URY,"0,17","0,09","6,28","7,77","4,69"
UZB,"0,16","0,17","2,77","1,39","0,05"
VUT,"3,86","0,61","8,85","10,73","12,64"
VEN,"1,01","0,36","8,97","9,46","2,35"
VNM,"0,07","0,01","11,1","2,78","0,16"
OWID_WRL,"7,38","2,12","14,94","13,23","3,66"
YEM,"1,94","0,09","1,33","1,7","0,84"
ZMB,"107,18","19,58","157,67","333,02","116,9"
ZWE,"66,07","34,29","168,22","400,92","141,12"
