country_code,disease_code
CHE,2.0
CHE,3.0
SYR,0.0
SYR,1.0
SYR,2.0
SYR,3.0
TWN,0.0
TWN,1.0
TWN,2.0
TWN,3.0
TJK,0.0
TJK,1.0
TJK,2.0
TJK,3.0
TZA,0.0
TZA,1.0
TZA,2.0
TZA,3.0
THA,0.0
THA,1.0
THA,2.0
THA,3.0
TLS,0.0
TLS,1.0
TLS,2.0
TLS,3.0
TGO,0.0
TGO,1.0
TGO,2.0
TGO,3.0
TKL,0.0
TKL,1.0
TKL,2.0
TKL,3.0
TON,0.0
TON,1.0
TON,2.0
TON,3.0
TUN,0.0
TUN,1.0
TUN,2.0
TUN,3.0
TUR,0.0
TUR,1.0
TUR,2.0
TUR,3.0
TKM,0.0
TKM,1.0
TKM,2.0
TKM,3.0
TUV,0.0
TUV,1.0
TUV,2.0
TUV,3.0
UGA,0.0
UGA,1.0
UGA,2.0
UGA,3.0
UKR,0.0
UKR,1.0
UKR,2.0
UKR,3.0
URY,0.0
URY,1.0
URY,2.0
URY,3.0
UZB,0.0
UZB,1.0
UZB,2.0
UZB,3.0
VUT,0.0
VUT,1.0
VUT,2.0
VUT,3.0
VEN,0.0
VEN,1.0
VEN,2.0
VEN,3.0
VNM,0.0
VNM,1.0
VNM,2.0
VNM,3.0
OWID_WRL,0.0
OWID_WRL,1.0
OWID_WRL,2.0
OWID_WRL,3.0
YEM,0.0
YEM,1.0
YEM,2.0
YEM,3.0
ZMB,0.0
ZMB,1.0
ZMB,2.0
ZMB,3.0
ZWE,0.0
ZWE,1.0
ZWE,2.0
ZWE,3.0
